"species","file","raw_rows","post_burnin_rows","kept","reason"
"Desmognathus_ochrophaeus","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ochrophaeus","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_ocoee","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_13.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_14.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_15.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_16.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_orestes","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_13.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_14.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_organi","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_13.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_14.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_6.pars.log",5001,2001,TRUE,"kept"
